date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:35:18	10624/10624	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Jun%202022%2014:35:18%20GMT	https://forums.ficsit.app/t/very-important-post/32	/home/vilsol/forum-backup/fbackup/t/very-important-post/32	(from https://forums.ficsit.app/t/comments-when/26)
17:35:19	14191/14191	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Nov%202019%2003:44:49%20GMT	https://forums.ficsit.app/t/satisfactorymodloader-announcements/19/	/home/vilsol/forum-backup/fbackup/t/satisfactorymodloader-announcements/19/index.html	(from https://forums.ficsit.app/t/comments-when/26)
17:35:20	38127/38127	---MCZ	200	added ('OK')	text/html	date:Sun,%2017%20Nov%202019%2021:11:58%20GMT	https://forums.ficsit.app/t/comments-when/26/10	/home/vilsol/forum-backup/fbackup/t/comments-when/26/10.html	(from https://forums.ficsit.app/t/comments-when/26)
17:35:21	4463/4463	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jun%202022%2014:35:20%20GMT	https://forums.ficsit.app/u/TBNRregs	/home/vilsol/forum-backup/fbackup/u/TBNRregs.html	(from https://forums.ficsit.app/t/comments-when/26)
17:35:21	10164/10164	---MC-	200	added ('OK')	application/rss+xml	date:Wed,%2001%20Jun%202022%2014:35:21%20GMT	https://forums.ficsit.app/c/offtopic/10.rss	/home/vilsol/forum-backup/fbackup/c/offtopic/10.rss	(from https://forums.ficsit.app/c/offtopic/10?page=1)
17:35:22	2243/2243	---MC-	200	added ('OK')	application/rss+xml	date:Wed,%2001%20Jun%202022%2014:35:22%20GMT	https://forums.ficsit.app/t/about-the-offtopic-category/23.rss	/home/vilsol/forum-backup/fbackup/t/about-the-offtopic-category/23.rss	(from https://forums.ficsit.app/t/about-the-offtopic-category/23)
17:35:23	2751/2751	---MC-	200	added ('OK')	application/rss+xml	date:Wed,%2001%20Jun%202022%2014:35:23%20GMT	https://forums.ficsit.app/t/unban-from-discord/1046.rss	/home/vilsol/forum-backup/fbackup/t/unban-from-discord/1046.rss	(from https://forums.ficsit.app/t/unban-from-discord/1046)
17:35:24	4001/4001	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jun%202022%2014:35:24%20GMT	https://forums.ficsit.app/u/t1ggy	/home/vilsol/forum-backup/fbackup/u/t1ggy.html	(from https://forums.ficsit.app/t/unban-from-discord/1046)
17:35:25	4073/4073	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jun%202022%2014:35:25%20GMT	https://forums.ficsit.app/u/EightBitRanger	/home/vilsol/forum-backup/fbackup/u/EightBitRanger.html	(from https://forums.ficsit.app/t/unban-from-discord/1046)
17:35:26	4139/4139	---MC-	200	added ('OK')	application/rss+xml	date:Wed,%2001%20Jun%202022%2014:35:26%20GMT	https://forums.ficsit.app/t/banned-on-discord/1020.rss	/home/vilsol/forum-backup/fbackup/t/banned-on-discord/1020.rss	(from https://forums.ficsit.app/t/banned-on-discord/1020)
